record_id,customer_id,account_id,discrepancy_type,source_table,transaction_amount,currency,contact_type,contact_value,ssn,address_line1,city,zip_code,account_status,outcome,date_of_record
16,541,380,Suspicious transaction activity,transactions,1906.69,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/2/2024 4:29
17,384,1728,Suspicious transaction activity,transactions,1641.86,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,12/22/2021 16:41
18,689,1690,Suspicious transaction activity,transactions,1591.67,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,4/26/2024 12:02
19,689,1690,Suspicious transaction activity,transactions,1859.65,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,7/6/2024 15:27
20,785,1245,Suspicious transaction activity,transactions,1504.59,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/31/2024 20:33
21,785,1245,Suspicious transaction activity,transactions,1638.76,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,2/29/2024 3:46
22,785,1245,Suspicious transaction activity,transactions,1965.98,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/8/2024 18:16
23,3,1587,Suspicious transaction activity,transactions,1824.68,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,6/12/2024 15:43
24,3,1587,Suspicious transaction activity,transactions,1972.23,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/21/2024 12:13
25,3,1587,Suspicious transaction activity,transactions,1539.1,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/21/2024 4:38
26,812,233,Suspicious transaction activity,transactions,1666.01,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/15/2024 21:39
27,812,233,Suspicious transaction activity,transactions,1920.71,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/21/2024 16:23
28,812,233,Suspicious transaction activity,transactions,1537.05,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,7/12/2024 1:22
29,812,233,Suspicious transaction activity,transactions,1939.77,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/7/2024 14:00
30,36,1415,Suspicious transaction activity,transactions,1730.54,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,4/2/2024 13:05
31,324,325,Suspicious transaction activity,transactions,1753.71,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,5/18/2024 2:08
32,899,564,Suspicious transaction activity,transactions,1945.58,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/8/2020 14:12
33,899,564,Suspicious transaction activity,transactions,1610.94,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,6/12/2022 10:14
34,145,1702,Suspicious transaction activity,transactions,1573.68,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/16/2021 13:56
35,145,1702,Suspicious transaction activity,transactions,1873.18,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,5/13/2023 15:16
36,992,977,Suspicious transaction activity,transactions,1840.0,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/27/2024 0:25
37,992,977,Suspicious transaction activity,transactions,1745.64,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/3/2024 23:40
38,992,977,Suspicious transaction activity,transactions,1937.5,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/5/2024 15:26
39,469,1779,Suspicious transaction activity,transactions,1625.77,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/7/2024 1:58
40,312,1788,Suspicious transaction activity,transactions,1644.85,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,12/19/2021 12:48
41,312,1788,Suspicious transaction activity,transactions,1629.39,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/6/2024 0:52
42,466,2118,Suspicious transaction activity,transactions,1671.08,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/27/2024 9:20
43,466,2118,Suspicious transaction activity,transactions,1632.95,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,5/26/2023 17:31
44,466,2118,Suspicious transaction activity,transactions,1585.15,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,5/8/2020 11:04
45,536,1843,Suspicious transaction activity,transactions,1668.19,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/17/2024 22:15
46,536,1843,Suspicious transaction activity,transactions,1858.58,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,7/2/2024 6:19
47,536,1843,Suspicious transaction activity,transactions,1885.72,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,7/10/2024 14:56
48,536,1843,Suspicious transaction activity,transactions,1626.5,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,7/4/2024 0:57
49,603,1354,Suspicious transaction activity,transactions,1869.89,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/25/2024 10:35
50,603,1354,Suspicious transaction activity,transactions,1614.57,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/23/2024 1:08
51,876,1270,Suspicious transaction activity,transactions,1880.41,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,11/15/2023 5:45
52,876,1270,Suspicious transaction activity,transactions,1839.58,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,5/28/2023 21:56
53,898,821,Suspicious transaction activity,transactions,1878.29,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/28/2024 3:58
54,898,821,Suspicious transaction activity,transactions,1586.79,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/8/2024 0:50
55,333,608,Suspicious transaction activity,transactions,1884.15,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,12/11/2023 1:03
56,333,608,Suspicious transaction activity,transactions,1992.47,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,12/17/2023 2:20
57,333,608,Suspicious transaction activity,transactions,1564.0,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/6/2024 13:30
58,215,1292,Suspicious transaction activity,transactions,1616.54,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/13/2024 5:36
59,215,1292,Suspicious transaction activity,transactions,1745.69,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,6/21/2024 4:57
60,620,147,Suspicious transaction activity,transactions,1667.04,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,5/23/2024 17:14
61,396,1449,Suspicious transaction activity,transactions,1790.84,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/13/2024 13:44
62,396,1449,Suspicious transaction activity,transactions,1607.17,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/8/2024 13:03
63,120,638,Suspicious transaction activity,transactions,1612.8,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,5/30/2023 18:55
64,132,1671,Suspicious transaction activity,transactions,1905.56,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,5/3/2023 11:17
65,132,1671,Suspicious transaction activity,transactions,1817.51,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/22/2024 2:59
66,344,2192,Suspicious transaction activity,transactions,1561.0,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,6/4/2024 10:16
67,344,2192,Suspicious transaction activity,transactions,1506.72,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,4/28/2024 5:51
68,927,209,Suspicious transaction activity,transactions,1532.05,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/16/2024 17:10
69,927,209,Suspicious transaction activity,transactions,1559.89,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/7/2024 5:57
70,940,259,Suspicious transaction activity,transactions,1697.1,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/13/2024 10:14
71,398,2226,Suspicious transaction activity,transactions,1688.52,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/15/2024 0:07
72,733,940,Suspicious transaction activity,transactions,1726.75,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,12/27/2023 22:48
73,406,2437,Suspicious transaction activity,transactions,1811.6,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,5/19/2024 3:52
74,855,619,Suspicious transaction activity,transactions,1794.42,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/13/2024 14:37
75,855,619,Suspicious transaction activity,transactions,1932.33,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/26/2023 13:57
76,855,619,Suspicious transaction activity,transactions,1691.85,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/30/2024 0:27
77,791,772,Suspicious transaction activity,transactions,1563.7,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/14/2024 22:05
78,611,388,Suspicious transaction activity,transactions,1673.07,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,2/21/2023 10:16
79,521,529,Suspicious transaction activity,transactions,1557.66,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,6/19/2023 20:11
80,521,529,Suspicious transaction activity,transactions,1614.66,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,4/12/2022 15:05
81,521,529,Suspicious transaction activity,transactions,1604.2,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,12/2/2023 3:43
82,89,505,Suspicious transaction activity,transactions,1959.94,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,11/24/2022 2:33
83,89,505,Suspicious transaction activity,transactions,1968.92,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/22/2024 2:21
84,89,505,Suspicious transaction activity,transactions,1689.0,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,5/28/2023 1:41
85,467,2054,Suspicious transaction activity,transactions,1979.89,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/12/2024 15:30
86,467,2054,Suspicious transaction activity,transactions,1829.4,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/14/2024 18:35
87,118,1721,Suspicious transaction activity,transactions,1834.24,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/26/2024 21:05
88,469,1048,Suspicious transaction activity,transactions,1889.94,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,4/12/2024 14:25
89,469,1048,Suspicious transaction activity,transactions,1964.76,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/6/2024 7:38
90,585,824,Suspicious transaction activity,transactions,1658.0,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,1/17/2024 7:58
91,585,824,Suspicious transaction activity,transactions,1561.73,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,3/23/2024 19:50
92,580,2249,Suspicious transaction activity,transactions,1812.63,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,12/29/2022 17:39
93,910,2212,Suspicious transaction activity,transactions,1670.63,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,11/14/2023 1:52
94,910,2212,Suspicious transaction activity,transactions,1817.19,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/6/2023 5:53
95,910,2212,Suspicious transaction activity,transactions,1808.05,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,3/5/2024 10:47
96,910,2212,Suspicious transaction activity,transactions,1943.56,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/6/2023 16:27
97,445,813,Suspicious transaction activity,transactions,1925.37,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/11/2024 11:40
98,445,813,Suspicious transaction activity,transactions,1709.88,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/9/2024 9:55
99,412,735,Suspicious transaction activity,transactions,1941.44,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/23/2023 17:45
100,412,735,Suspicious transaction activity,transactions,1683.42,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/12/2024 7:09
101,21,134,Suspicious transaction activity,transactions,1555.53,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/12/2024 23:19
102,424,1599,Suspicious transaction activity,transactions,1500.99,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/19/2024 11:12
103,37,1860,Suspicious transaction activity,transactions,1833.52,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/9/2023 11:50
104,37,1860,Suspicious transaction activity,transactions,1652.79,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,11/24/2022 14:57
105,37,1860,Suspicious transaction activity,transactions,1967.38,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/20/2024 15:37
106,580,2187,Suspicious transaction activity,transactions,1668.19,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,2/9/2024 0:28
107,126,1179,Suspicious transaction activity,transactions,1933.42,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,3/28/2024 17:19
108,126,1179,Suspicious transaction activity,transactions,1700.2,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,2/9/2024 18:21
109,536,1651,Suspicious transaction activity,transactions,1696.76,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,4/30/2023 1:57
110,536,1651,Suspicious transaction activity,transactions,1817.4,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/15/2023 7:45
111,246,1946,Suspicious transaction activity,transactions,1541.74,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/11/2024 10:10
112,512,1085,Suspicious transaction activity,transactions,1580.2,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/19/2024 18:27
113,512,1085,Suspicious transaction activity,transactions,1562.48,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,11/25/2023 10:58
114,731,1856,Suspicious transaction activity,transactions,1636.57,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,5/2/2024 15:02
115,731,1856,Suspicious transaction activity,transactions,1836.76,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/16/2024 6:06
116,347,2064,Suspicious transaction activity,transactions,1667.29,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/13/2024 8:25
117,126,1859,Suspicious transaction activity,transactions,1722.67,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/31/2023 12:23
118,126,1859,Suspicious transaction activity,transactions,1511.35,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,1/18/2024 17:31
119,126,1859,Suspicious transaction activity,transactions,1741.84,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/29/2023 19:06
120,126,1859,Suspicious transaction activity,transactions,1595.3,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,1/18/2024 17:25
121,690,1069,Suspicious transaction activity,transactions,1626.96,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,3/12/2021 0:20
122,465,1910,Suspicious transaction activity,transactions,1700.53,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/19/2024 20:08
123,465,1910,Suspicious transaction activity,transactions,1847.63,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/23/2024 13:51
124,465,1910,Suspicious transaction activity,transactions,1659.32,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/20/2024 0:59
125,9,494,Suspicious transaction activity,transactions,1635.53,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/18/2023 22:30
126,686,234,Suspicious transaction activity,transactions,1900.75,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,1/22/2024 10:23
127,833,1668,Suspicious transaction activity,transactions,1956.42,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,12/13/2022 2:36
128,833,1668,Suspicious transaction activity,transactions,1778.52,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,6/6/2023 6:19
129,833,1668,Suspicious transaction activity,transactions,1787.33,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,12/21/2021 22:38
130,379,2053,Suspicious transaction activity,transactions,1607.21,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/25/2024 5:40
131,149,2163,Suspicious transaction activity,transactions,1567.95,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,5/21/2024 22:56
132,149,2163,Suspicious transaction activity,transactions,1820.3,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,6/7/2023 19:44
133,149,2163,Suspicious transaction activity,transactions,1935.65,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,3/9/2023 8:54
134,253,327,Suspicious transaction activity,transactions,1646.85,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,3/27/2024 8:28
135,973,1751,Suspicious transaction activity,transactions,1544.85,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,5/5/2024 7:06
136,973,1751,Suspicious transaction activity,transactions,1502.9,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/15/2024 19:29
137,973,1751,Suspicious transaction activity,transactions,1586.62,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,5/20/2024 0:33
138,129,730,Suspicious transaction activity,transactions,1668.16,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/17/2023 14:15
139,330,2004,Suspicious transaction activity,transactions,1628.3,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/9/2023 16:07
140,998,870,Suspicious transaction activity,transactions,1863.84,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,5/28/2024 18:24
141,998,870,Suspicious transaction activity,transactions,1836.25,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,1/8/2024 21:48
142,187,1765,Suspicious transaction activity,transactions,1860.78,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,1/11/2024 12:57
143,4,2075,Suspicious transaction activity,transactions,1612.78,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,3/29/2023 1:22
144,4,2075,Suspicious transaction activity,transactions,1870.02,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,11/29/2023 16:01
145,4,2075,Suspicious transaction activity,transactions,1798.23,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/27/2024 22:33
146,42,89,Suspicious transaction activity,transactions,1501.91,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/20/2024 10:54
147,846,1902,Suspicious transaction activity,transactions,1722.11,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,4/2/2024 17:58
148,846,1902,Suspicious transaction activity,transactions,1724.92,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,6/19/2022 22:14
149,974,2058,Suspicious transaction activity,transactions,1683.58,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/27/2024 22:06
150,65,2345,Suspicious transaction activity,transactions,1992.22,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,3/22/2023 13:12
151,352,1248,Suspicious transaction activity,transactions,1801.66,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/15/2024 2:04
152,458,237,Suspicious transaction activity,transactions,1642.2,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/14/2024 17:18
153,588,262,Suspicious transaction activity,transactions,1708.51,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,4/14/2024 3:43
154,588,262,Suspicious transaction activity,transactions,1890.15,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/26/2023 13:46
155,955,122,Suspicious transaction activity,transactions,1728.22,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,5/18/2024 21:44
156,857,1597,Suspicious transaction activity,transactions,1868.93,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/6/2023 11:38
157,857,1597,Suspicious transaction activity,transactions,1750.99,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,6/30/2024 13:31
158,857,1597,Suspicious transaction activity,transactions,1917.89,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,4/8/2024 8:25
159,759,1221,Suspicious transaction activity,transactions,1844.01,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/3/2024 15:41
160,759,1221,Suspicious transaction activity,transactions,1899.08,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/14/2024 4:19
161,759,1221,Suspicious transaction activity,transactions,1584.87,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/19/2024 2:04
162,759,1221,Suspicious transaction activity,transactions,1503.01,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/24/2024 14:43
163,42,1821,Suspicious transaction activity,transactions,1606.5,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,5/6/2024 7:57
164,42,1821,Suspicious transaction activity,transactions,1559.54,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,1/17/2024 16:30
165,42,1821,Suspicious transaction activity,transactions,1690.17,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,11/28/2022 1:01
166,530,1893,Suspicious transaction activity,transactions,1526.52,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/26/2024 2:33
167,530,1893,Suspicious transaction activity,transactions,1682.0,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/19/2024 18:56
168,953,567,Suspicious transaction activity,transactions,1906.21,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,7/4/2023 3:19
169,953,567,Suspicious transaction activity,transactions,1743.78,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,3/13/2024 4:51
170,681,1250,Suspicious transaction activity,transactions,1930.0,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,1/6/2023 20:58
171,753,746,Suspicious transaction activity,transactions,1642.04,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,7/6/2024 3:59
172,753,746,Suspicious transaction activity,transactions,1771.26,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/13/2024 15:55
173,753,746,Suspicious transaction activity,transactions,1946.18,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/20/2024 3:46
174,59,62,Suspicious transaction activity,transactions,1635.13,EUR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,5/16/2024 4:30
175,59,62,Suspicious transaction activity,transactions,1527.62,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/15/2024 1:46
176,59,62,Suspicious transaction activity,transactions,1537.66,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,11/13/2023 21:06
177,490,80,Suspicious transaction activity,transactions,1704.67,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/18/2024 4:55
178,490,80,Suspicious transaction activity,transactions,1641.7,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,3/18/2024 21:31
179,490,80,Suspicious transaction activity,transactions,1890.36,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,6/29/2024 6:38
180,488,882,Suspicious transaction activity,transactions,1696.12,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/30/2023 19:31
181,264,2292,Suspicious transaction activity,transactions,1501.01,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,7/24/2022 19:18
182,264,2292,Suspicious transaction activity,transactions,1586.63,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,6/25/2024 20:32
183,264,2292,Suspicious transaction activity,transactions,1500.5,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,11/19/2023 15:55
184,242,807,Suspicious transaction activity,transactions,1782.17,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,11/18/2022 17:28
185,242,807,Suspicious transaction activity,transactions,1853.57,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/23/2021 10:46
186,842,298,Suspicious transaction activity,transactions,1938.46,GBP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,10/9/2024 6:28
187,764,1960,Suspicious transaction activity,transactions,1650.39,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,8/13/2020 16:43
188,764,1960,Suspicious transaction activity,transactions,1619.57,USD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fraud,9/3/2022 4:28
